date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2021-01-07,Antalya Open,1st Round,Hard,Basilashvili N.,Arnaboldi A.,40,267.0,1.5,2.5,1.61,2.44,1.67,2.56
2021-01-07,Antalya Open,1st Round,Hard,Celikbilek A.,Zuk K.,309,262.0,2.5,1.5,2.63,1.54,2.7,1.55
2021-01-07,Antalya Open,1st Round,Hard,Ruusuvuori E.,Vesely J.,87,67.0,1.5,2.5,1.56,2.58,1.63,3.03
2021-01-07,Antalya Open,1st Round,Hard,Bublik A.,Caruso S.,49,76.0,1.61,2.2,1.81,2.09,1.87,2.3
2021-01-07,Antalya Open,1st Round,Hard,Goffin D.,Herbert P.H.,16,83.0,1.4,2.75,1.46,2.92,1.5,3.0
2021-01-07,Antalya Open,1st Round,Hard,Travaglia S.,Kecmanovic M.,75,42.0,2.62,1.44,2.8,1.49,2.85,1.5
2021-01-07,Delray Beach Open,1st Round,Hard,Korda S.,Kwon S.W.,119,95.0,1.72,2.0,1.74,2.21,1.8,2.31
2021-01-07,Delray Beach Open,1st Round,Hard,Mager G.,Harrison R.,101,481.0,2.0,1.72,2.3,1.68,2.45,1.81
2021-01-07,Delray Beach Open,1st Round,Hard,Paul T.,Nam J.S.,52,268.0,1.12,6.0,1.13,6.81,1.24,6.81
2021-01-07,Delray Beach Open,1st Round,Hard,Monteiro T.,Bellucci T.,84,281.0,1.36,3.0,1.36,3.42,1.44,3.5
2021-01-08,Delray Beach Open,1st Round,Hard,Querrey S.,Mcdonald M.,56,194.0,1.8,1.9,1.94,1.94,1.95,2.15
2021-01-08,Delray Beach Open,1st Round,Hard,Quiroz R.,Rubin N.,293,251.0,2.0,1.72,2.12,1.79,2.2,1.88
2021-01-08,Delray Beach Open,1st Round,Hard,Fratangelo B.,King K.,274,304.0,1.5,2.5,1.52,2.68,1.61,2.8
2021-01-08,Delray Beach Open,1st Round,Hard,Norrie C.,Aragone J.C.,74,299.0,1.2,4.33,1.2,5.13,1.23,6.0
2021-01-08,Delray Beach Open,1st Round,Hard,Karlovic I.,Andujar P.,148,59.0,2.62,1.44,2.86,1.47,3.0,1.61
2021-01-08,Delray Beach Open,1st Round,Hard,Harrison C.,Etcheverry T.,280,256.0,1.33,3.25,1.36,3.42,1.55,3.42
2021-01-08,Delray Beach Open,1st Round,Hard,Galan D.E.,Martin A.,115,100.0,1.4,2.75,1.47,2.87,1.54,2.88
2021-01-08,Antalya Open,1st Round,Hard,Fognini F.,Vrbensky M.,17,311.0,1.4,2.75,1.49,2.81,1.49,3.0
2021-01-08,Antalya Open,1st Round,Hard,Kuzmanov D.,Djere L.,298,55.0,2.62,1.44,2.7,1.52,2.73,1.57
2021-01-08,Antalya Open,1st Round,Hard,Struff J.L.,Kotov P.,37,269.0,1.22,4.0,1.24,4.44,1.27,4.6
2021-01-08,Antalya Open,1st Round,Hard,Lamasine T.,Gerasimov E.,271,78.0,5.0,1.16,5.74,1.17,5.74,1.22
2021-01-08,Antalya Open,1st Round,Hard,Andreev A.,Ilhan M.,564,571.0,1.2,4.33,1.24,4.53,1.25,4.65
2021-01-08,Antalya Open,1st Round,Hard,Grenier H.,Molcan A.,250,313.0,1.8,1.9,2.0,1.89,2.05,2.0
2021-01-08,Antalya Open,1st Round,Hard,Berrettini M.,Kirkin E.,10,446.0,1.03,15.0,1.03,16.3,1.04,24.25
2021-01-08,Antalya Open,1st Round,Hard,Chardy J.,Albot R.,72,85.0,2.0,1.72,2.18,1.75,2.2,1.8
2021-01-08,Antalya Open,1st Round,Hard,De Minaur A.,Jaziri M.,23,249.0,1.04,13.0,1.04,14.8,1.05,18.7
2021-01-08,Antalya Open,1st Round,Hard,Kuhn N.,Bachinger M.,253,279.0,2.25,1.57,2.48,1.6,2.7,1.63
2021-01-09,Antalya Open,2nd Round,Hard,Basilashvili N.,Celikbilek A.,40,309.0,1.4,2.75,1.45,3.0,1.45,3.12
2021-01-09,Delray Beach Open,1st Round,Hard,Tiafoe F.,Young D.,62,327.0,1.22,4.0,1.19,5.38,1.27,5.75
