date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2020-01-06,Qatar Exxon Mobil Open,1st Round,Hard,Bublik A.,Mannarino A.,55.0,43.0,2.0,1.72,2.21,1.74,2.25,1.8
2020-01-06,Qatar Exxon Mobil Open,1st Round,Hard,Moutet C.,Sandgren T.,81.0,68.0,1.57,2.25,1.6,2.47,1.65,2.47
2020-01-06,Qatar Exxon Mobil Open,1st Round,Hard,Verdasco F.,Andujar P.,49.0,64.0,1.25,3.75,1.31,3.74,1.33,3.85
2020-01-06,Qatar Exxon Mobil Open,1st Round,Hard,Bedene A.,Ymer M.,58.0,76.0,1.83,1.83,1.97,1.92,2.0,2.07
2020-01-06,Qatar Exxon Mobil Open,1st Round,Hard,Chardy J.,Barrere G.,54.0,83.0,1.5,2.5,1.54,2.62,1.57,2.65
2020-01-06,Qatar Exxon Mobil Open,1st Round,Hard,Kecmanovic M.,Thompson J.,62.0,63.0,1.66,2.1,1.74,2.21,1.8,2.3
2020-01-06,Qatar Exxon Mobil Open,1st Round,Hard,Krajinovic F.,Edmund K.,40.0,69.0,1.83,1.83,1.9,1.99,2.23,2.1
2020-01-07,Qatar Exxon Mobil Open,1st Round,Hard,Djere L.,Sonego L.,39.0,51.0,3.0,1.36,3.18,1.4,3.2,1.43
2020-01-07,Qatar Exxon Mobil Open,1st Round,Hard,Fucsovics M.,Tiafoe F.,70.0,47.0,2.0,1.72,2.03,1.86,2.1,1.87
2020-01-07,Qatar Exxon Mobil Open,1st Round,Hard,Ilkel C.,Berankis R.,279.0,67.0,3.5,1.28,3.34,1.37,4.2,1.4
2020-01-07,Qatar Exxon Mobil Open,1st Round,Hard,Kukushkin M.,Jaziri M.,66.0,229.0,1.28,3.5,1.31,3.74,1.33,4.0
2020-01-07,Qatar Exxon Mobil Open,1st Round,Hard,Herbert P.H.,Cecchinato M.,65.0,75.0,1.53,2.37,1.57,2.55,1.62,2.7
2020-01-07,Qatar Exxon Mobil Open,2nd Round,Hard,Bedene A.,Bublik A.,58.0,55.0,1.66,2.1,1.83,2.09,1.83,2.2
2020-01-07,Qatar Exxon Mobil Open,2nd Round,Hard,Wawrinka S.,Chardy J.,15.0,54.0,1.3,3.4,1.43,3.08,1.45,3.46
2020-01-08,Qatar Exxon Mobil Open,2nd Round,Hard,Moutet C.,Raonic M.,81.0,32.0,2.75,1.4,2.9,1.47,2.9,1.51
2020-01-08,Qatar Exxon Mobil Open,2nd Round,Hard,Kecmanovic M.,Tsonga J.W.,62.0,30.0,2.1,1.66,2.48,1.61,2.5,1.72
2020-01-08,Qatar Exxon Mobil Open,2nd Round,Hard,Herbert P.H.,Djere L.,65.0,39.0,1.44,2.62,1.45,2.99,1.57,2.99
2020-01-08,Qatar Exxon Mobil Open,2nd Round,Hard,Fucsovics M.,Ilkel C.,70.0,279.0,1.16,5.0,1.26,4.34,1.26,5.35
2020-01-08,Qatar Exxon Mobil Open,2nd Round,Hard,Rublev A.,Kukushkin M.,23.0,66.0,1.3,3.4,1.29,4.01,1.33,4.07
2020-01-08,Qatar Exxon Mobil Open,2nd Round,Hard,Verdasco F.,Krajinovic F.,49.0,40.0,2.25,1.57,2.4,1.65,2.4,1.67
2020-01-09,Qatar Exxon Mobil Open,Quarterfinals,Hard,Kecmanovic M.,Fucsovics M.,62.0,70.0,1.61,2.3,1.69,2.34,1.71,2.34
2020-01-10,Qatar Exxon Mobil Open,Semifinals,Hard,Moutet C.,Wawrinka S.,81.0,15.0,3.5,1.3,4.3,1.26,4.3,1.33
2020-01-10,Qatar Exxon Mobil Open,Quarterfinals,Hard,Rublev A.,Herbert P.H.,23.0,65.0,1.25,4.0,1.32,3.79,1.32,4.03
2020-01-10,Qatar Exxon Mobil Open,Quarterfinals,Hard,Moutet C.,Verdasco F.,81.0,49.0,2.3,1.61,2.56,1.59,2.56,1.63
2020-01-10,Qatar Exxon Mobil Open,Quarterfinals,Hard,Wawrinka S.,Bedene A.,15.0,58.0,1.33,3.4,1.35,3.6,1.4,3.65
2020-01-10,Qatar Exxon Mobil Open,Semifinals,Hard,Rublev A.,Kecmanovic M.,23.0,62.0,1.66,2.2,1.63,2.44,1.8,2.44
2020-01-11,Qatar Exxon Mobil Open,The Final,Hard,Rublev A.,Moutet C.,23.0,81.0,1.22,4.33,1.25,4.5,1.27,4.5
2020-01-12,ASB Classic,1st Round,Hard,Bublik A.,Fritz T.,55.0,32.0,2.25,1.57,2.48,1.6,2.5,1.63
2020-01-12,ASB Classic,1st Round,Hard,Cuevas P.,Opelka R.,44.0,38.0,3.5,1.28,3.79,1.31,3.79,1.35
2020-01-12,ASB Classic,1st Round,Hard,Djere L.,Popyrin A.,40.0,95.0,3.0,1.36,3.16,1.4,3.35,1.4
2020-01-13,Adelaide International,1st Round,Hard,Monteiro T.,Norrie C.,86.0,62.0,2.0,1.72,2.35,1.65,2.35,1.75
2020-01-13,Adelaide International,1st Round,Hard,Sandgren T.,Venus M.,101.0,,1.2,4.33,1.21,4.99,1.27,4.99
2020-01-13,Adelaide International,1st Round,Hard,Paire B.,Sinner J.,24.0,79.0,2.1,1.66,2.27,1.7,2.27,1.87
2020-01-13,Adelaide International,1st Round,Hard,Humbert U.,Ruud C.,57.0,46.0,1.83,1.83,2.03,1.86,2.1,1.92
2020-01-13,Adelaide International,1st Round,Hard,Hurkacz H.,Sonego L.,34.0,52.0,1.33,3.25,1.31,3.74,1.37,3.74
2020-01-13,Adelaide International,1st Round,Hard,Ymer M.,Tiafoe F.,77.0,49.0,2.0,1.72,2.07,1.83,2.2,1.85
2020-01-13,ASB Classic,1st Round,Hard,Duckworth J.,Delbonis F.,96.0,73.0,1.72,2.0,1.75,2.19,1.8,2.19
2020-01-13,ASB Classic,1st Round,Hard,Harris L.,Garin C.,91.0,36.0,1.83,1.83,1.81,2.1,1.92,2.1
2020-01-13,ASB Classic,1st Round,Hard,Evans D.,Londero J.I.,33.0,51.0,1.36,3.0,1.31,3.8,1.4,4.12
2020-01-13,ASB Classic,1st Round,Hard,Chardy J.,Simon G.,56.0,60.0,1.66,2.1,1.76,2.17,1.77,2.29
2020-01-13,ASB Classic,1st Round,Hard,Querrey S.,Barrere G.,45.0,82.0,1.57,2.25,1.63,2.42,1.68,2.65
2020-01-14,Adelaide International,1st Round,Hard,Pospisil V.,Sousa J.,146.0,58.0,1.4,2.75,1.45,2.93,1.45,3.0
2020-01-14,ASB Classic,1st Round,Hard,Paul T.,Bedene A.,90.0,54.0,1.83,1.83,1.94,1.94,2.0,1.95
2020-01-14,Adelaide International,1st Round,Hard,Edmund K.,Davidovich Fokina A.,69.0,85.0,1.5,2.5,1.45,2.93,1.54,2.93
2020-01-14,ASB Classic,1st Round,Hard,Ramos-Vinolas A.,Thompson J.,42.0,65.0,2.25,1.57,2.33,1.67,2.38,1.77
2020-01-14,ASB Classic,2nd Round,Hard,Evans D.,Bublik A.,33.0,55.0,1.57,2.25,1.7,2.29,1.73,2.35
2020-01-14,ASB Classic,1st Round,Hard,Bolt A.,Robert S.,157.0,661.0,,,,,1.44,4.1
2020-01-14,ASB Classic,1st Round,Hard,Struff J.L.,Caruso S.,37.0,94.0,1.28,3.5,1.24,4.44,1.3,5.15
2020-01-14,Adelaide International,1st Round,Hard,Millman J.,Mmoh M.,47.0,227.0,1.61,2.2,1.64,2.36,1.76,2.38
2020-01-15,Adelaide International,1st Round,Hard,Lopez F.,Andujar P.,61.0,63.0,1.53,2.37,1.52,2.7,1.67,2.75
2020-01-15,Adelaide International,1st Round,Hard,Cecchinato M.,Mayer L.,76.0,100.0,2.37,1.53,2.46,1.6,2.5,1.59
2020-01-15,Adelaide International,2nd Round,Hard,Isner J.,Sandgren T.,20.0,101.0,1.57,2.25,1.53,2.71,1.73,2.71
2020-01-15,Adelaide International,2nd Round,Hard,Hurkacz H.,Ymer M.,34.0,77.0,1.5,2.5,1.49,2.84,1.51,3.03
2020-01-15,Adelaide International,2nd Round,Hard,Edmund K.,Seppi A.,69.0,84.0,1.44,2.62,1.39,3.22,1.49,3.6
2020-01-15,Adelaide International,1st Round,Hard,Seppi A.,Mannarino A.,84.0,43.0,2.37,1.53,2.45,1.61,2.5,1.7
2020-01-15,Adelaide International,2nd Round,Hard,Shapovalov D.,Pospisil V.,13.0,146.0,1.53,2.37,1.51,2.76,1.57,2.91
2020-01-15,Adelaide International,2nd Round,Hard,Paire B.,Monteiro T.,24.0,86.0,1.5,2.5,1.57,2.57,1.62,2.63
2020-01-15,Adelaide International,2nd Round,Hard,Millman J.,Khachanov K.,47.0,16.0,2.5,1.5,2.62,1.56,2.62,1.62
2020-01-15,ASB Classic,2nd Round,Hard,Auger-Aliassime F.,Duckworth J.,22.0,96.0,1.57,2.25,1.6,2.5,1.63,2.52
2020-01-15,ASB Classic,2nd Round,Hard,Bolt A.,Struff J.L.,157.0,37.0,4.0,1.22,3.83,1.31,4.49,1.33
2020-01-15,ASB Classic,2nd Round,Hard,Ramos-Vinolas A.,Munar J.,42.0,88.0,1.66,2.1,1.81,2.11,1.81,2.38
2020-01-15,ASB Classic,2nd Round,Hard,Carreno Busta P.,Chardy J.,30.0,56.0,1.83,1.83,1.85,2.06,1.91,2.06
2020-01-15,ASB Classic,2nd Round,Hard,Paul T.,Cuevas P.,90.0,44.0,1.5,2.5,1.52,2.74,1.54,2.75
2020-01-15,ASB Classic,2nd Round,Hard,Rublev A.,Querrey S.,18.0,45.0,1.66,2.1,1.64,2.42,1.69,2.42
2020-01-15,ASB Classic,2nd Round,Hard,Harris L.,Djere L.,91.0,40.0,1.4,2.75,1.46,2.94,1.53,2.94
2020-01-15,Adelaide International,2nd Round,Hard,Humbert U.,Cecchinato M.,57.0,76.0,1.5,2.5,1.39,3.25,1.64,3.43
2020-01-15,Adelaide International,2nd Round,Hard,Lopez F.,Fognini F.,61.0,12.0,2.75,1.4,3.19,1.4,3.2,1.45
2020-01-16,Adelaide International,Quarterfinals,Hard,Isner J.,Edmund K.,20.0,69.0,1.9,1.9,1.92,2.0,1.92,2.0
2020-01-16,Adelaide International,Quarterfinals,Hard,Humbert U.,Shapovalov D.,57.0,13.0,3.2,1.36,3.26,1.4,3.4,1.4
2020-01-16,Adelaide International,Quarterfinals,Hard,Paire B.,Millman J.,24.0,47.0,2.1,1.72,2.33,1.69,2.33,1.82
2020-01-16,Adelaide International,Quarterfinals,Hard,Hurkacz H.,Lopez F.,34.0,61.0,1.33,3.4,1.35,3.61,1.36,3.94
2020-01-16,ASB Classic,Quarterfinals,Hard,Auger-Aliassime F.,Bolt A.,22.0,157.0,1.44,2.75,1.47,2.97,1.54,2.97
2020-01-16,ASB Classic,Quarterfinals,Hard,Paul T.,Ramos-Vinolas A.,90.0,42.0,1.57,2.37,1.56,2.65,1.62,3.03
2020-01-16,ASB Classic,Quarterfinals,Hard,Rublev A.,Evans D.,18.0,33.0,1.44,2.75,1.49,2.87,1.53,2.87
2020-01-16,ASB Classic,Quarterfinals,Hard,Harris L.,Carreno Busta P.,91.0,30.0,2.62,1.5,2.83,1.5,2.83,1.54
2020-01-17,ASB Classic,Semifinals,Hard,Rublev A.,Auger-Aliassime F.,18.0,22.0,1.44,2.75,1.46,3.0,1.51,3.0
2020-01-17,ASB Classic,Semifinals,Hard,Harris L.,Paul T.,91.0,90.0,2.2,1.66,2.15,1.81,2.27,1.81
2020-01-17,Adelaide International,Semifinals,Hard,Humbert U.,Isner J.,57.0,20.0,1.9,1.9,2.01,1.92,2.01,2.0
2020-01-17,Adelaide International,Semifinals,Hard,Paire B.,Hurkacz H.,24.0,34.0,2.37,1.57,2.73,1.53,2.75,1.58
2020-01-18,ASB Classic,The Final,Hard,Rublev A.,Harris L.,18.0,91.0,1.33,3.4,1.32,3.8,1.36,3.94
2020-01-18,Adelaide International,The Final,Hard,Humbert U.,Paire B.,57.0,24.0,1.72,2.1,1.71,2.29,1.94,2.29
2020-01-20,Australian Open,1st Round,Hard,Djokovic N.,Struff J.L.,2.0,37.0,1.01,23.0,1.01,26.08,1.04,35.0
2020-01-20,Australian Open,1st Round,Hard,Kohlschreiber P.,Giron M.,79.0,107.0,1.28,3.75,1.31,3.85,1.36,3.85
2020-01-20,Australian Open,1st Round,Hard,Tsitsipas S.,Caruso S.,6.0,95.0,1.02,19.0,1.01,27.9,1.03,27.9
2020-01-20,Australian Open,1st Round,Hard,Dimitrov G.,Londero J.I.,20.0,52.0,1.2,4.5,1.19,5.42,1.23,5.42
2020-01-20,Australian Open,1st Round,Hard,Federer R.,Johnson S.,3.0,75.0,1.03,15.0,1.03,17.9,1.05,20.0
2020-01-20,Australian Open,1st Round,Hard,Fucsovics M.,Shapovalov D.,67.0,13.0,5.0,1.16,5.62,1.18,5.8,1.19
2020-01-20,Australian Open,1st Round,Hard,Barrere G.,Safwat M.,84.0,173.0,1.44,2.75,1.48,2.87,1.48,3.35
2020-01-20,Australian Open,1st Round,Hard,Querrey S.,Coric B.,45.0,28.0,2.2,1.66,2.17,1.78,2.35,1.78
2020-01-20,Australian Open,1st Round,Hard,Pella G.,Smith J.P.,25.0,308.0,1.25,4.0,1.32,3.78,1.32,4.33
2020-01-20,Australian Open,1st Round,Hard,Nishioka Y.,Djere L.,71.0,40.0,1.57,2.37,1.55,2.64,1.61,2.7
2020-01-20,Australian Open,1st Round,Hard,Evans D.,Mcdonald M.,32.0,129.0,1.16,5.0,1.26,4.34,1.26,5.5
2020-01-20,Australian Open,1st Round,Hard,Berankis R.,Carballes Baena R.,69.0,83.0,1.66,2.2,1.76,2.2,1.81,2.25
