date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2017-01-01,Brisbane International,1st Round,Hard,Thompson J.,Ymer E.,79,160.0,1.28,3.5,1.31,3.73,1.33,3.9
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Almagro N.,Lorenzi P.,44,40.0,1.66,2.1,1.67,2.33,1.8,2.33
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Djokovic N.,Struff J.L.,2,63.0,1.03,15.0,1.04,14.14,1.05,17.0
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Zeballos H.,Mayer F.,71,50.0,2.37,1.53,2.62,1.54,2.62,1.62
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Goffin D.,Haase R.,11,59.0,1.16,5.0,1.16,6.02,1.17,6.02
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Stepanek R.,Baghdatis M.,107,36.0,2.2,1.61,2.28,1.69,2.35,1.73
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,De Greef A.,Safwat M.,134,199.0,2.25,1.57,2.46,1.61,2.49,1.62
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Verdasco F.,Pospisil V.,42,133.0,1.8,1.9,1.89,2.0,1.89,2.05
2017-01-02,Chennai Open,1st Round,Hard,Chung H.,Coric B.,104,48.0,1.66,2.1,1.79,2.12,1.83,2.14
2017-01-02,Chennai Open,1st Round,Hard,Kovalik J.,Elias G.,117,81.0,1.44,2.62,1.57,2.55,1.57,2.75
2017-01-02,Chennai Open,1st Round,Hard,Medvedev D.,Monteiro T.,99,82.0,1.18,4.5,1.25,4.36,1.25,4.7
2017-01-02,Chennai Open,1st Round,Hard,Sela D.,Dzumhur D.,96,77.0,2.0,1.72,2.1,1.81,2.1,1.83
2017-01-02,Chennai Open,1st Round,Hard,Darcis S.,Mektic N.,86,331.0,1.22,4.0,1.26,4.25,1.26,4.33
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Vesely J.,Yuksel A.,55,507.0,1.05,10.0,1.06,11.37,1.1,11.37
2017-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Brown D.,Bagnis F.,72,56.0,1.36,3.0,1.41,3.14,1.41,3.4
2017-01-02,Brisbane International,1st Round,Hard,Mahut N.,Robert S.,39,54.0,1.5,2.5,1.58,2.52,1.59,2.55
2017-01-02,Brisbane International,1st Round,Hard,Ferrer D.,Tomic B.,21,26.0,1.9,1.8,2.1,1.81,2.15,1.82
2017-01-02,Brisbane International,1st Round,Hard,Edmund K.,Escobedo E.,45,141.0,1.36,3.0,1.42,3.09,1.42,3.25
2017-01-02,Brisbane International,1st Round,Hard,Dimitrov G.,Johnson S.,17,33.0,1.4,2.75,1.41,3.13,1.46,3.13
2017-01-02,Sony Ericsson Open,The Final,Hard,Federer R.,Nadal R.,6,7.0,1.66,2.2,1.73,2.26,1.76,2.26
2017-01-03,Brisbane International,1st Round,Hard,Troicki V.,Nishioka Y.,29,100.0,1.5,2.5,1.54,2.62,1.54,2.85
2017-01-03,Brisbane International,1st Round,Hard,Donaldson J.,Muller G.,105,34.0,2.62,1.44,2.74,1.51,2.75,1.51
2017-01-03,Brisbane International,1st Round,Hard,Groth S.,Herbert P.H.,180,78.0,2.25,1.57,2.34,1.66,2.4,1.66
2017-01-03,Brisbane International,1st Round,Hard,Pouille L.,Simon G.,15,25.0,1.8,1.9,1.93,1.95,1.93,2.0
2017-01-03,Chennai Open,1st Round,Hard,Youzhny M.,Myneni S.,57,192.0,1.44,2.62,1.41,3.14,1.45,3.2
2017-01-03,Chennai Open,1st Round,Hard,Dutra Silva R.,Lajovic D.,440,93.0,3.0,1.36,3.1,1.41,3.1,1.42
2017-01-03,Chennai Open,1st Round,Hard,Bhambri Y.,Ramanathan R.,474,227.0,1.4,2.75,1.43,3.02,1.5,3.02
2017-01-03,Chennai Open,1st Round,Hard,Paire B.,Kravchuk K.,47,85.0,1.5,2.5,1.53,2.67,1.54,2.67
2017-01-03,Chennai Open,1st Round,Hard,Lu Y.H.,Albot R.,64,97.0,1.25,3.75,1.29,3.9,1.31,4.0
2017-01-03,Chennai Open,1st Round,Hard,Bedene A.,Garcia-Lopez G.,101,70.0,1.66,2.1,1.74,2.2,1.74,2.25
2017-01-03,Chennai Open,1st Round,Hard,Olivo R.,Ruud C.,83,225.0,1.8,1.9,1.94,1.94,1.94,2.0
2017-01-03,Qatar Exxon Mobil Open,1st Round,Hard,Tsonga J.W.,Kuznetsov An.,12,46.0,1.28,3.5,1.29,3.9,1.33,3.9
2017-01-03,Brisbane International,1st Round,Hard,Schwartzman D.,Querrey S.,52,31.0,2.2,1.61,2.2,1.74,2.3,1.74
2017-01-03,Brisbane International,1st Round,Hard,Zverev M.,De Minaur A.,51,351.0,1.44,2.62,1.49,2.8,1.5,2.8
2017-01-03,Brisbane International,1st Round,Hard,Nadal R.,Dolgopolov O.,9,62.0,1.16,5.0,1.15,6.34,1.2,6.34
2017-01-03,Qatar Exxon Mobil Open,1st Round,Hard,Khachanov K.,Zayid M.S.,53,1277.0,1.005,34.0,1.01,25.62,1.01,34.0
2017-01-03,Qatar Exxon Mobil Open,1st Round,Hard,Kohlschreiber P.,Jaziri M.,32,58.0,1.36,3.0,1.45,2.94,1.45,3.1
2017-01-03,Qatar Exxon Mobil Open,1st Round,Hard,Melzer G.,Mathieu P.H.,68,73.0,2.2,1.61,2.2,1.74,2.25,1.78
2017-01-03,Qatar Exxon Mobil Open,1st Round,Hard,Karlovic I.,Marchenko I.,20,74.0,1.4,2.75,1.44,3.0,1.45,3.05
2017-01-03,Qatar Exxon Mobil Open,1st Round,Hard,Murray A.,Chardy J.,1,69.0,1.04,13.0,1.03,16.29,1.05,16.29
2017-01-03,Qatar Exxon Mobil Open,1st Round,Hard,Berdych T.,Giannessi A.,10,128.0,1.08,8.0,1.08,9.69,1.1,9.69
2017-01-04,Qatar Exxon Mobil Open,2nd Round,Hard,Karlovic I.,Khachanov K.,20,53.0,1.57,2.25,1.65,2.38,1.69,2.38
2017-01-04,Qatar Exxon Mobil Open,2nd Round,Hard,Almagro N.,Kohlschreiber P.,44,32.0,2.5,1.5,2.54,1.58,2.54,1.61
