date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Berankis R.,Struff J.L.,99,56.0,2.2,1.66,2.13,1.79,2.3,1.8
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Sinner J.,Davidovich Fokina A.,10,43.0,1.3,3.5,1.34,3.56,1.34,3.6
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Kwon S.W.,Ivashka I.,60,45.0,2.3,1.61,2.39,1.63,2.43,1.64
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Molcan A.,Harris L.,69,35.0,2.37,1.57,2.65,1.53,2.65,1.6
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Mcdonald M.,Karatsev A.,61,22.0,2.2,1.66,2.25,1.71,2.31,1.73
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Khachanov K.,De Minaur A.,26,32.0,1.66,2.2,1.75,2.18,1.75,2.3
2022-02-22,Abierto Mexicano,1st Round,Hard,Isner J.,Verdasco F.,23,152.0,1.3,3.5,1.3,3.89,1.36,3.89
2022-02-22,Abierto Mexicano,1st Round,Hard,Fritz T.,Mannarino A.,16,55.0,1.3,3.5,1.33,3.62,1.36,3.74
2022-02-22,Abierto Mexicano,1st Round,Hard,Gojowczyk P.,Nakashima B.,95,75.0,7.0,1.1,7.32,1.12,7.5,1.12
2022-02-22,Abierto Mexicano,1st Round,Hard,Lajovic D.,Korda S.,46,40.0,4.5,1.2,5.03,1.2,5.05,1.27
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Bautista Agut R.,Rinderknech A.,15,53.0,1.44,2.75,1.41,3.14,1.46,3.14
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Shapovalov D.,Fucsovics M.,14,36.0,1.57,2.37,1.63,2.41,1.73,2.52
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Rublev A.,Evans D.,7,28.0,1.57,2.37,1.65,2.37,1.65,2.57
2022-02-22,Chile Open,1st Round,Clay,Monteiro T.,Jarry N.,107,143.0,1.8,2.0,1.87,2.02,2.01,2.02
2022-02-22,Chile Open,1st Round,Clay,Pucinelli de Almeida M.,Rune H.,264,88.0,3.0,1.4,3.06,1.42,3.44,1.43
2022-02-22,Chile Open,1st Round,Clay,Hanfmann Y.,Coria F.,115,62.0,2.2,1.66,1.97,1.92,2.32,1.92
2022-02-22,Chile Open,1st Round,Clay,Dellien H.,Lama G.,98,263.0,1.4,3.0,1.43,3.01,1.44,3.1
