date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2017-12-31,Brisbane International,1st Round,Hard,Dolgopolov O.,Schwartzman D.,169,26.0,2.2,1.61,2.24,1.71,2.29,1.77
2017-12-31,Brisbane International,1st Round,Hard,De Minaur A.,Johnson S.,209,44.0,2.75,1.4,3.14,1.41,3.25,1.44
2018-01-01,Tata Open,1st Round,Hard,Jarry N.,Andujar P.,113,1690.0,1.36,3.0,1.41,3.12,1.44,3.4
2018-01-01,Tata Open,1st Round,Hard,Fucsovics M.,Kicker N.,85,95.0,1.22,4.0,1.26,4.3,1.29,4.55
2018-01-01,Tata Open,1st Round,Hard,Kukushkin M.,Albot R.,74,86.0,1.53,2.37,1.65,2.37,1.66,2.45
2018-01-01,Tata Open,1st Round,Hard,Ojeda Lara R.,Vesely J.,198,62.0,3.25,1.33,3.27,1.38,3.5,1.38
2018-01-01,Qatar Exxon Mobil Open,1st Round,Hard,Tsitsipas S.,Mayer F.,91,69.0,1.53,2.37,1.54,2.64,1.57,2.82
2018-01-01,Qatar Exxon Mobil Open,1st Round,Hard,Basilashvili N.,Fabbiano T.,59,73.0,1.57,2.25,1.68,2.31,1.77,2.31
2018-01-01,Qatar Exxon Mobil Open,1st Round,Hard,Thiem D.,Donskoy E.,5,72.0,1.2,4.33,1.22,4.74,1.28,4.85
2018-01-01,Qatar Exxon Mobil Open,1st Round,Hard,Verdasco F.,Sela D.,35,68.0,1.36,3.0,1.41,3.14,1.45,3.32
2018-01-01,Qatar Exxon Mobil Open,1st Round,Hard,Rublev A.,Stebe C.M.,39,82.0,1.44,2.62,1.54,2.62,1.57,2.9
2018-01-01,Tata Open,1st Round,Hard,Herbert P.H.,Cecchinato M.,81,109.0,1.28,3.5,1.28,4.07,1.31,4.2
2018-01-01,Tata Open,1st Round,Hard,Simon G.,Sandgren T.,89,96.0,1.44,2.62,1.47,2.85,1.5,3.0
2018-01-01,Tata Open,1st Round,Hard,Ramanathan R.,Carballes Baena R.,148,106.0,1.68,2.3,1.73,2.1,1.73,2.36
2018-01-01,Brisbane International,1st Round,Hard,Donaldson J.,Thompson J.,54,94.0,1.83,1.83,1.99,1.9,2.0,2.02
2018-01-01,Brisbane International,1st Round,Hard,Harrison R.,Mayer L.,47,52.0,1.61,2.2,1.66,2.35,1.75,2.35
2018-01-01,Brisbane International,1st Round,Hard,Ebden M.,Tiafoe F.,76,79.0,2.5,1.5,2.38,1.64,2.52,1.65
2018-01-01,Brisbane International,1st Round,Hard,Zverev M.,Smith J.P.,33,218.0,1.4,2.75,1.44,3.0,1.57,3.0
2018-01-01,Brisbane International,1st Round,Hard,Zeballos H.,Escobedo E.,66,120.0,2.2,1.61,2.22,1.73,2.38,1.75
2018-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Berrettini M.,Troicki V.,135,55.0,2.25,1.57,2.28,1.69,2.45,1.69
2018-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Bedene A.,Jaziri M.,49,98.0,1.53,2.37,1.58,2.53,1.64,2.58
2018-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Gojowczyk P.,Krajinovic F.,60,34.0,2.2,1.61,2.37,1.65,2.45,1.86
2018-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Lopez F.,Garcia-Lopez G.,36,70.0,1.53,2.37,1.57,2.55,1.61,2.57
2018-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Basic M.,Haider-Maurer A.,138,451.0,1.22,4.0,1.26,4.2,1.29,4.6
2018-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Coric B.,Carreno Busta P.,48,10.0,1.72,2.0,1.76,2.16,1.84,2.17
2018-01-02,Qatar Exxon Mobil Open,1st Round,Hard,Gasquet R.,Estrella Burgos V.,31,83.0,1.12,6.0,1.13,7.12,1.15,8.2
2018-01-02,Brisbane International,1st Round,Hard,Mmoh M.,Delbonis F.,175,67.0,1.66,2.1,1.84,2.06,1.91,2.1
2018-01-02,Brisbane International,1st Round,Hard,Chung H.,Muller G.,58,25.0,1.53,2.37,1.7,2.26,1.7,2.55
2018-01-02,Brisbane International,1st Round,Hard,Millman J.,Polansky P.,128,137.0,1.33,3.25,1.33,3.57,1.42,3.65
2018-01-02,Brisbane International,1st Round,Hard,Istomin D.,Dzumhur D.,63,30.0,2.62,1.44,2.8,1.49,2.8,1.57
