date,tournament,round,surface,match,wrank,lrank,prob_winner,odds_winner,odds_loser,pin_winner,pin_loser,edge,confidence,decision,reason,stake,result,leak_flag,invalidated,data_cutoff,bankroll_before,profit,bankroll_after
2024-12-29,Brisbane International,1st Round,Hard,Vukic A. vs Goffin D.,68,52.0,0.5243,2.0,1.8,2.08,1.83,0.0,0.049,,no-bet baseline,0.0,,0,0,2023-11-19,1000000.0,0.0,1000000.0
2024-12-30,Hong Kong Tennis Open,1st Round,Hard,Kecmanovic M. vs Darderi L.,54,44.0,0.627,1.3,3.5,1.37,3.36,0.0,0.254,,no-bet baseline,0.0,,0,0,2024-12-29,1000000.0,0.0,1000000.0
2024-12-30,Hong Kong Tennis Open,1st Round,Hard,Marozsan F. vs Safiullin R.,58,60.0,0.404,2.63,1.5,2.44,1.61,0.0,0.192,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Hong Kong Tennis Open,1st Round,Hard,Norrie C. vs Tien L.,49,122.0,0.6818,1.67,2.2,1.68,2.31,0.0,0.364,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Brisbane International,1st Round,Hard,Lehecka J. vs Rune H.,28,13.0,0.2507,2.5,1.53,2.55,1.57,0.0,0.499,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Brisbane International,1st Round,Hard,Dimitrov G. vs Hanfmann Y.,10,96.0,0.9341,1.14,5.5,1.15,6.43,0.0,0.868,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Hong Kong Tennis Open,1st Round,Hard,Sonego L. vs Nakashima B.,53,38.0,0.6224,2.38,1.57,2.6,1.55,0.0,0.245,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Brisbane International,1st Round,Hard,Thompson J. vs Berrettini M.,26,34.0,0.3596,2.63,1.5,2.47,1.6,0.0,0.281,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Brisbane International,1st Round,Hard,Nishioka Y. vs Rinderknech A.,69,59.0,0.669,1.53,2.5,1.64,2.39,0.0,0.338,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Brisbane International,1st Round,Hard,Bonzi B. vs Tabilo A.,75,23.0,0.5504,1.67,2.2,1.73,2.22,0.0,0.101,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Brisbane International,1st Round,Hard,Michelsen A. vs O Connell C.,41,64.0,0.489,1.44,2.75,1.48,2.85,0.0,0.022,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-30,Brisbane International,1st Round,Hard,Jarry N. vs Navone M.,35,47.0,0.7668,1.36,3.2,1.4,3.16,0.0,0.534,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-31,Brisbane International,1st Round,Hard,Opelka R. vs Gomez F.,293,137.0,0.7725,1.5,2.63,1.54,2.62,0.0,0.545,,no-bet baseline,0.0,,0,0,2024-12-30,1000000.0,0.0,1000000.0
2024-12-31,Brisbane International,1st Round,Hard,Monfils G. vs Basavareddy N.,55,138.0,0.8367,1.62,2.3,1.72,2.23,0.0,0.673,,no-bet baseline,0.0,,0,0,2024-12-31,1000000.0,0.0,1000000.0
2024-12-31,Brisbane International,1st Round,Hard,Mpetshi G. vs Kyrgios N.,31,,0.101,1.91,1.91,1.96,1.93,0.0,0.798,,no-bet baseline,0.0,,0,0,2024-12-31,1000000.0,0.0,1000000.0
2024-12-31,Brisbane International,1st Round,Hard,Lajovic D. vs Cazaux A.,81,63.0,0.6944,,,,,0.0,0.389,,no-bet baseline,0.0,,0,0,2024-12-31,1000000.0,0.0,1000000.0
2024-12-31,Brisbane International,1st Round,Hard,Mensik J. vs Kukushkin M.,48,113.0,0.6779,1.29,3.75,1.31,3.77,0.0,0.356,,no-bet baseline,0.0,,0,0,2024-12-31,1000000.0,0.0,1000000.0
2024-12-31,Brisbane International,1st Round,Hard,Tiafoe F. vs Walton A.,18,93.0,0.7814,1.22,4.33,1.29,3.93,0.0,0.563,,no-bet baseline,0.0,,0,0,2024-12-31,1000000.0,0.0,1000000.0
2024-12-31,Brisbane International,1st Round,Hard,Arnaldi M. vs Popyrin A.,37,24.0,0.5691,2.5,1.53,2.46,1.61,0.0,0.138,,no-bet baseline,0.0,,0,0,2024-12-31,1000000.0,0.0,1000000.0
2024-12-31,Brisbane International,1st Round,Hard,Djokovic N. vs Hijikata R.,7,73.0,0.9845,1.04,13.0,1.05,13.89,0.0,0.969,,no-bet baseline,0.0,,0,0,2024-12-31,1000000.0,0.0,1000000.0
2024-12-31,Hong Kong Tennis Open,1st Round,Hard,Munar J. vs Davidovich Fokina A.,62,61.0,0.1736,3.2,1.36,3.47,1.35,0.0,0.653,,no-bet baseline,0.0,,0,0,2024-12-31,1000000.0,0.0,1000000.0
