bet_no,timestamp,kickoff,data_cutoff,league,league_code,match,home,away,prediction,prob_home,prob_draw,prob_away,odds_home,odds_draw,odds_away,sharp_home,sharp_draw,sharp_away,edge,threshold,confidence,rest_home,rest_away,league_roi,league_seen,decision,reason,stake,result,result_known_at_prediction,leak_flag,invalidated,bankroll_before,profit,bankroll_after
,2025-01-31,2025-02-01,2024-11-10,La Liga,SP1,Getafe vs Sevilla,Getafe,Sevilla,,0.3848,0.3251,0.2901,2.45,2.9,3.25,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 38% < 40%,0.0,,False,0,0,729000.0,0.0,729000.0
,2025-01-31,2025-02-02,2024-11-10,La Liga,SP1,Betis vs Ath Bilbao,Betis,Ath Bilbao,,0.3265,0.287,0.3865,2.9,3.3,2.45,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 39% < 40%,0.0,,False,0,0,729000.0,0.0,729000.0
,2025-01-31,2025-02-02,2024-11-10,La Liga,SP1,Osasuna vs Sociedad,Osasuna,Sociedad,,0.3148,0.3148,0.3704,3.0,3.0,2.55,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,729000.0,0.0,729000.0
,2025-02-12,2025-02-14,2024-11-10,Premier League,E0,Brighton vs Chelsea,Brighton,Chelsea,,0.3506,0.263,0.3864,2.7,3.6,2.45,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 39% < 40%,0.0,,False,0,0,728300.0,0.0,728300.0
,2025-02-12,2025-02-15,2024-11-10,La Liga,SP1,Leganes vs Alaves,Leganes,Alaves,,0.3066,0.3278,0.3656,3.1,2.9,2.6,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,728300.0,0.0,728300.0
,2025-02-14,2025-02-16,2024-11-10,La Liga,SP1,Betis vs Sociedad,Betis,Sociedad,,0.3701,0.3044,0.3254,2.55,3.1,2.9,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,718300.0,0.0,718300.0
,2025-02-14,2025-02-16,2024-11-10,Premier League,E0,Tottenham vs Man United,Tottenham,Man United,,0.3863,0.2524,0.3613,2.45,3.75,2.62,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 39% < 40%,0.0,,False,0,0,718300.0,0.0,718300.0
,2025-02-19,2025-02-22,2024-11-10,Premier League,E0,Aston Villa vs Chelsea,Aston Villa,Chelsea,,0.3591,0.2777,0.3632,2.63,3.4,2.6,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 36% < 40%,0.0,,False,0,0,688600.0,0.0,688600.0
,2025-02-19,2025-02-22,2024-11-10,La Liga,SP1,Vallecano vs Villarreal,Vallecano,Villarreal,,0.3297,0.2713,0.399,2.88,3.5,2.38,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 40% < 40%,0.0,,False,0,0,688600.0,0.0,688600.0
,2025-02-19,2025-02-22,2024-11-10,Premier League,E0,Everton vs Man United,Everton,Man United,,0.3783,0.2956,0.3261,2.5,3.2,2.9,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 38% < 40%,0.0,,False,0,0,688600.0,0.0,688600.0
,2025-02-21,2025-02-23,2024-11-10,La Liga,SP1,Getafe vs Betis,Getafe,Betis,,0.3656,0.3066,0.3278,2.6,3.1,2.9,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,704400.0,0.0,704400.0
,2025-02-22,2025-02-25,2024-11-10,Premier League,E0,Wolves vs Fulham,Wolves,Fulham,,0.3575,0.2849,0.3575,2.63,3.3,2.63,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 36% < 40%,0.0,,False,0,0,690500.0,0.0,690500.0
,2025-02-22,2025-02-25,2024-11-10,Premier League,E0,Crystal Palace vs Aston Villa,Crystal Palace,Aston Villa,,0.3853,0.2776,0.3371,2.45,3.4,2.8,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 39% < 40%,0.0,,False,0,0,690500.0,0.0,690500.0
,2025-02-25,2025-02-28,2024-11-10,La Liga,SP1,Valladolid vs Las Palmas,Valladolid,Las Palmas,,0.3067,0.2971,0.3962,3.1,3.2,2.4,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 40% < 40%,0.0,,False,0,0,722800.0,0.0,722800.0
,2025-02-27,2025-03-02,2024-11-10,La Liga,SP1,Leganes vs Getafe,Leganes,Getafe,,0.3059,0.3293,0.3648,3.1,2.88,2.6,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 36% < 40%,0.0,,False,0,0,729300.0,0.0,729300.0
,2025-03-08,2025-03-10,2024-11-10,La Liga,SP1,Espanol vs Girona,Espanol,Girona,,0.3067,0.2971,0.3962,3.1,3.2,2.4,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 40% < 40%,0.0,,False,0,0,692300.0,0.0,692300.0
,2025-03-14,2025-03-16,2024-11-10,La Liga,SP1,Vallecano vs Sociedad,Vallecano,Sociedad,,0.3788,0.3157,0.3055,2.5,3.0,3.1,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 38% < 40%,0.0,,False,0,0,663200.0,0.0,663200.0
,2025-03-14,2025-03-16,2024-11-10,La Liga,SP1,Sevilla vs Ath Bilbao,Sevilla,Ath Bilbao,,0.3261,0.2956,0.3783,2.9,3.2,2.5,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 38% < 40%,0.0,,False,0,0,663200.0,0.0,663200.0
