bankroll
1000.0
963.95
1013.81
1039.72
1011.35
1074.23
1022.43
1045.89
1000.38
1023.67
972.02
926.62
888.74
922.0
872.33
839.79
855.85
873.65
864.01
884.83
865.37
873.87
901.16
869.56
