agent,seed,season,match,kickoff,pick,odds,stake,won,profit,ai_layer
ML-only,46,2526,Cagliari vs Fiorentina,2025-08-24,away_win,2.25,10000.0,0,-10000.0,
ML-only,46,2526,Como vs Roma,2026-03-15,away_win,3.6,10000.0,0,-10000.0,
ML-only,46,2526,Genoa vs Como,2026-04-26,home_win,4.5,10000.0,0,-10000.0,
ML-only,46,2526,Genoa vs Milan,2026-05-17,home_win,4.5,10000.0,0,-10000.0,
ML-only,46,2526,Lecce vs Genoa,2026-05-24,away_win,5.0,10000.0,0,-10000.0,
AI+ML,42,2425,Genoa vs Torino,2024-12-07,draw,3.1,8258.6,1,17343.06,PASS
AI+ML,42,2425,Venezia vs Cagliari,2024-12-22,draw,3.3,8995.37,0,-8995.37,PASS
AI+ML,42,2425,Verona vs Udinese,2025-01-04,away_win,2.55,4481.82,0,-4481.82,PASS
AI+ML,42,2425,Bologna vs Como,2025-02-01,home_win,1.9,2500.0,1,2250.0,PASS
AI+ML,42,2425,Fiorentina vs Inter,2025-02-06,away_win,2.05,2500.0,0,-2500.0,PASS
AI+ML,42,2425,Empoli vs Roma,2025-03-09,away_win,2.0,2500.0,1,2500.0,PASS
AI+ML,42,2425,Monza vs Parma,2025-03-15,home_win,3.1,2710.92,0,-2710.92,PASS
AI+ML,42,2425,Bologna vs Lazio,2025-03-16,home_win,2.4,3799.43,1,5319.2,PASS
AI+ML,42,2425,Fiorentina vs Parma,2025-04-13,home_win,1.73,2500.0,0,-2500.0,PASS
AI+ML,42,2425,Empoli vs Lazio,2025-05-04,away_win,1.83,2500.0,1,2075.0,PASS
AI+ML,43,2425,Genoa vs Torino,2024-12-07,draw,3.1,8358.6,1,17553.06,PASS
AI+ML,43,2425,Venezia vs Cagliari,2024-12-22,draw,3.3,8267.37,0,-8267.37,PASS
AI+ML,43,2425,Verona vs Udinese,2025-01-04,away_win,2.55,4329.82,0,-4329.82,PASS
AI+ML,43,2425,Bologna vs Como,2025-02-01,home_win,1.9,2500.0,1,2250.0,PASS
AI+ML,43,2425,Fiorentina vs Inter,2025-02-06,away_win,2.05,2500.0,0,-2500.0,PASS
AI+ML,43,2425,Empoli vs Roma,2025-03-09,away_win,2.0,2500.0,1,2500.0,PASS
AI+ML,43,2425,Genoa vs Lecce,2025-03-14,home_win,2.15,2500.0,1,2875.0,PASS
AI+ML,43,2425,Monza vs Parma,2025-03-15,home_win,3.1,2500.0,0,-2500.0,PASS
AI+ML,43,2425,Fiorentina vs Parma,2025-04-13,home_win,1.73,2500.0,0,-2500.0,PASS
AI+ML,43,2425,Empoli vs Lazio,2025-05-04,away_win,1.83,2500.0,1,2075.0,PASS
AI+ML,44,2425,Genoa vs Torino,2024-12-07,draw,3.1,8178.6,1,17175.06,PASS
AI+ML,44,2425,Venezia vs Cagliari,2024-12-22,draw,3.3,8703.37,0,-8703.37,PASS
AI+ML,44,2425,Verona vs Udinese,2025-01-04,away_win,2.55,4149.82,0,-4149.82,PASS
AI+ML,44,2425,Bologna vs Como,2025-02-01,home_win,1.9,2500.0,1,2250.0,PASS
AI+ML,44,2425,Fiorentina vs Inter,2025-02-06,away_win,2.05,2500.0,0,-2500.0,PASS
AI+ML,44,2425,Empoli vs Roma,2025-03-09,away_win,2.0,2500.0,1,2500.0,PASS
AI+ML,44,2425,Monza vs Parma,2025-03-15,home_win,3.1,2500.0,0,-2500.0,PASS
AI+ML,44,2425,Fiorentina vs Parma,2025-04-13,home_win,1.73,2500.0,0,-2500.0,PASS
AI+ML,45,2425,Venezia vs Cagliari,2024-12-22,draw,3.3,8863.37,0,-8863.37,PASS
AI+ML,45,2425,Monza vs Parma,2025-03-15,home_win,3.1,2658.92,0,-2658.92,PASS
AI+ML,46,2425,Venezia vs Cagliari,2024-12-22,draw,3.3,9059.37,0,-9059.37,PASS
AI+ML,46,2425,Monza vs Parma,2025-03-15,home_win,3.1,2810.92,0,-2810.92,PASS
AI+ML,42,2526,Como vs Lazio,2025-08-24,away_win,3.0,6752.83,0,-6752.83,PASS
AI+ML,43,2526,Como vs Lazio,2025-08-24,away_win,3.0,7100.83,0,-7100.83,PASS
AI+ML,44,2526,Como vs Lazio,2025-08-24,away_win,3.0,7292.83,0,-7292.83,PASS
AI+ML,45,2526,Como vs Lazio,2025-08-24,away_win,3.0,7500.83,0,-7500.83,PASS
AI+ML,46,2526,Como vs Lazio,2025-08-24,away_win,3.0,7128.83,0,-7128.83,PASS
