agent,season,roi_pct,unit_roi_pct,n_bets,n_wins,strike_rate,total_staked,final_bankroll,ai_vetoes,ai_passes,ai_upscales
ML-only,2425,-4.0000000000000036,-100.0,4,0,0.0,40000.0,960000.0,0,0,0
ML-only,2526,-6.000000000000005,-100.0,6,0,0.0,60000.0,940000.0,0,0,0
AI+ML,2425,-0.5689819999999957,-99.9999999999991,1,0,0.0,5689.82,994310.18,25,1,0
AI+ML,2526,-0.5183409999999999,-100.00000000000063,1,0,0.0,5183.41,994816.59,33,1,0
