Model,log_loss,ece,accuracy,time,brier
Market (B365),0.9754737662024793,0.01728657706902577,0.5313243457573354,,
Logistic Regression,0.9742597935588754,0.009795652855017782,0.5315575873489761,0.5236284732818604,
XGBoost,0.9844602942466736,0.009073637873900562,0.5270793487894762,7.875596284866333,
LightGBM,0.9857039978505105,0.011726365774412866,0.5280123151560386,8.170418977737427,
ELU + BN,0.9747302532196045,0.008034262820600768,0.5308112142557261,29.627862691879272,0.19351273278395334
ELU + BN + Mixup,0.9753219485282898,0.012265869436932695,0.5296916546158511,26.930498123168945,0.19361538191636404
ELU + BN + LR Sched,0.974695086479187,0.009846378771033268,0.5299715445258198,26.404876470565796,0.1935322086016337
ELU + BN + Mixup + LR Sched,0.9749675393104553,0.006989345041379928,0.5299715445258198,21.441441297531128,0.19357486565907797
