agent,season,seed,roi_pct,unit_roi_pct,n_bets,n_wins,strike_rate,total_staked,final_bankroll,ai_vetoes,ai_passes,ai_upscales,pooled_unit_roi_pct,ci95_lo,ci95_hi,pooled_net_unit_roi_pct,ci95_net_lo,ci95_net_hi,mean_clv_pct,clv_ci95_lo,clv_ci95_hi,commission,slippage
ML-only,2425,42,0.9775000000000089,6.442577030812325,16,6,0.375,151725.0,1009775.0,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2425,43,0.9775000000000089,6.442577030812325,16,6,0.375,151725.0,1009775.0,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2425,44,-1.7225000000000046,-11.58177845015969,15,5,0.3333333333333333,148725.0,982775.0,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2425,45,0.9775000000000089,6.442577030812325,16,6,0.375,151725.0,1009775.0,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2425,46,0.9775000000000089,6.442577030812325,16,6,0.375,151725.0,1009775.0,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2526,42,5.9800000000000075,37.375,16,8,0.5,160000.0,1059800.0,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2526,43,4.512581000000004,28.77280407031753,18,9,0.5,156834.94,1045125.81,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2526,44,4.589249999999989,29.197881376151166,17,8,0.47058823529411764,157177.5,1045892.5,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2526,45,6.0799999999999965,38.0,16,9,0.5625,160000.0,1060800.0,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
ML-only,2526,46,8.988639999999993,54.93687720636405,18,11,0.6111111111111112,163617.6,1089886.4,0,0,0,20.819485639653873,-0.0769655664923171,41.85156633125191,19.32288660077356,-1.3284869525842582,40.09557032091397,0.8203353658536585,-0.3224503048780486,1.9986083841463407,0.02,0.0
AI+ML,2425,42,2.6101712200000016,59.82721886547086,11,7,0.6363636363636364,43628.49,1026101.7122000001,64,11,0,51.030421413727346,13.034975240851903,90.32007517322569,49.1564576594805,11.66888804478965,87.89651908454003,2.8333174603174593,0.14799484126984122,5.776025,0.02,0.0
AI+ML,2425,43,2.730611220000001,59.29860501397543,12,8,0.6666666666666666,46048.49,1027306.1122,62,12,0,51.030421413727346,13.034975240851903,90.32007517322569,49.1564576594805,11.66888804478965,87.89651908454003,2.8333174603174593,0.14799484126984122,5.776025,0.02,0.0
AI+ML,2425,44,2.6682992200000033,59.75165580635643,11,7,0.6363636363636364,44656.49,1026682.9922,68,11,0,51.030421413727346,13.034975240851903,90.32007517322569,49.1564576594805,11.66888804478965,87.89651908454003,2.8333174603174593,0.14799484126984122,5.776025,0.02,0.0
AI+ML,2425,45,2.670739220000007,57.0762363789574,12,8,0.6666666666666666,46792.49,1026707.3922,63,12,0,51.030421413727346,13.034975240851903,90.32007517322569,49.1564576594805,11.66888804478965,87.89651908454003,2.8333174603174593,0.14799484126984122,5.776025,0.02,0.0
