agent,season,roi_pct,unit_roi_pct,n_bets,n_wins,strike_rate,total_staked,final_bankroll,ai_vetoes,ai_passes,ai_upscales
ML-only,2324,1.140314000000009,7.515033176984612,18,7,0.3888888888888889,151737.72,1011403.14,0,0,0
ML-only,2425,0.9775000000000089,6.442577030812325,16,6,0.375,151725.0,1009775.0,0,0,0
ML-only,2526,5.9800000000000075,37.375,16,8,0.5,160000.0,1059800.0,0,0,0
AI+ML,2324,-0.24999999999999467,-100.0,1,0,0.0,2500.0,997500.0,29,1,0
AI+ML,2425,2.6101712200000016,59.82721886547086,11,7,0.6363636363636364,43628.49,1026101.7122000001,64,11,0
AI+ML,2526,-0.24999999999999467,-100.0,1,0,0.0,2500.0,997500.0,25,1,0
