league,n_matches,model_ll,market_ll,model_brier,market_brier,model_acc,market_acc,model_ece,market_ece,model_roi,market_roi
Bundesliga,306,1.0828347160908032,0.988265166527395,0.6566195083660132,0.5902366169555919,0.38562091503267976,0.5163398692810458,0.008119389978213523,0.050804127842132334,-0.4224000000000001,-0.2465000000000009
Ligue 1,306,1.0554590895239102,0.9601055473599049,0.6389561096732027,0.567608151631045,0.4673202614379085,0.5392156862745098,0.04634684095860564,0.036751382527503616,0.03759999999999991,-0.16379999999999995
