agent,seed,season,match,kickoff,pick,odds,stake,won,profit,ai_layer
ML-only,46,2425,Villarreal vs Celta,2024-08-26,home_win,1.91,10000.0,1,9100.0,
ML-only,46,2425,Espanol vs Vallecano,2024-08-31,home_win,2.8,10000.0,1,18000.0,
ML-only,46,2425,Leganes vs Mallorca,2024-08-31,home_win,2.5,10000.0,0,-10000.0,
ML-only,46,2425,Osasuna vs Celta,2024-09-01,home_win,2.45,10000.0,1,14500.0,
ML-only,46,2425,Sevilla vs Getafe,2024-09-14,home_win,2.2,10000.0,1,12000.0,
ML-only,46,2425,Betis vs Getafe,2024-09-18,home_win,1.91,10000.0,1,9100.0,
ML-only,46,2425,Girona vs Vallecano,2024-09-25,home_win,1.73,10000.0,0,-10000.0,
ML-only,46,2425,Getafe vs Alaves,2024-09-28,draw,2.88,10000.0,0,-10000.0,
ML-only,46,2425,Ath Bilbao vs Sevilla,2024-09-29,home_win,1.7,10000.0,0,-10000.0,
ML-only,46,2425,Leganes vs Valencia,2024-10-04,home_win,2.9,10000.0,0,-10000.0,
ML-only,46,2425,Las Palmas vs Celta,2024-10-05,home_win,3.1,10000.0,0,-10000.0,
ML-only,46,2425,Sevilla vs Betis,2024-10-06,home_win,2.45,10000.0,1,14500.0,
ML-only,46,2425,Sociedad vs Ath Madrid,2024-10-06,away_win,2.3,10000.0,0,-10000.0,
ML-only,46,2425,Girona vs Sociedad,2024-10-19,home_win,2.4,10000.0,0,-10000.0,
ML-only,46,2425,Osasuna vs Betis,2024-10-19,home_win,2.5,1455.0,0,-1455.0,
ML-only,42,2526,Valencia vs Sociedad,2025-08-16,home_win,2.6,10000.0,0,-10000.0,
ML-only,43,2526,Valencia vs Sociedad,2025-08-16,home_win,2.6,10000.0,0,-10000.0,
ML-only,44,2526,Valencia vs Sociedad,2025-08-16,home_win,2.6,10000.0,0,-10000.0,
ML-only,45,2526,Valencia vs Sociedad,2025-08-16,home_win,2.6,10000.0,0,-10000.0,
ML-only,46,2526,Valencia vs Sociedad,2025-08-16,home_win,2.6,10000.0,0,-10000.0,
AI+ML,42,2425,Espanol vs Vallecano,2024-08-31,home_win,2.8,6247.26,1,11245.07,PASS
AI+ML,42,2425,Getafe vs Alaves,2024-09-28,draw,2.88,7173.28,0,-7173.28,PASS
AI+ML,42,2425,Vallecano vs Ath Bilbao,2024-12-01,away_win,2.7,5394.14,1,9170.04,PASS
AI+ML,42,2425,Valencia vs Vallecano,2024-12-07,home_win,2.25,2500.0,0,-2500.0,PASS
AI+ML,42,2425,Valladolid vs Valencia,2024-12-13,draw,3.1,7924.21,0,-7924.21,PASS
AI+ML,42,2425,Vallecano vs Girona,2025-01-26,away_win,2.88,5353.28,0,-5353.28,PASS
AI+ML,42,2425,Girona vs Celta,2025-03-01,home_win,2.2,2500.0,0,-2500.0,PASS
AI+ML,43,2425,Espanol vs Vallecano,2024-08-31,home_win,2.8,6039.26,1,10870.67,PASS
AI+ML,43,2425,Getafe vs Alaves,2024-09-28,draw,2.88,7241.28,0,-7241.28,PASS
AI+ML,43,2425,Girona vs Espanol,2024-11-23,home_win,1.67,2500.0,1,1675.0,PASS
AI+ML,43,2425,Vallecano vs Ath Bilbao,2024-12-01,away_win,2.7,5506.14,1,9360.44,PASS
