agent,season,roi_pct,unit_roi_pct,n_bets,n_wins,strike_rate,total_staked,final_bankroll,ai_vetoes,ai_passes,ai_upscales
ML-only,2223,4.368009000000006,27.881621568279233,17,9,0.5294117647058824,156662.66,1043680.09,0,0,0
ML-only,2324,0.9924269599999924,6.5511330960801475,19,10,0.5263157894736842,151489.36,1009924.2696,0,0,0
ML-only,2425,-6.999999999999995,-100.0,7,0,0.0,70000.0,930000.0,0,0,0
ML-only,2526,-5.000000000000004,-100.0,5,0,0.0,50000.0,950000.0,0,0,0
AI+ML,2223,-0.24999999999999467,-100.0,1,0,0.0,2500.0,997500.0,12,1,0
AI+ML,2324,-0.2972980000000014,-99.99999999999937,1,0,0.0,2972.98,997027.02,20,1,0
AI+ML,2425,0.8299152000000198,20.36794650978011,10,5,0.5,40746.14,1008299.1520000001,54,10,0
AI+ML,2526,-0.6752829999999932,-99.99999999999937,1,0,0.0,6752.83,993247.17,5,1,0
