agent,season,roi_pct,unit_roi_pct,n_bets,n_wins,strike_rate,total_staked,final_bankroll,ai_vetoes,ai_passes,ai_upscales
ML-only,2425,-6.999999999999995,-100.0,7,0,0.0,70000.0,930000.0,0,0,0
ML-only,2526,-5.000000000000004,-100.0,5,0,0.0,50000.0,950000.0,0,0,0
AI+ML,2425,-3.323509999999996,-99.99999999999993,6,0,0.0,33235.1,966764.9,1,6,0
AI+ML,2526,-0.24999999999999467,-100.0,1,0,0.0,2500.0,997500.0,4,1,0
