iteration,n_features,NN__La Liga 25/26__acc,NN__La Liga 25/26__bacc,NN__La Liga 25/26__ll,NN__La Liga 25/26__brier,NN__La Liga 25/26__ece,NN__train_gap_La Liga 25/26,NN__EPL 25/26__acc,NN__EPL 25/26__bacc,NN__EPL 25/26__ll,NN__EPL 25/26__brier,NN__EPL 25/26__ece,NN__train_gap_EPL 25/26
baseline_4feat_raw,4,0.4974,0.4349,1.0373,0.6143,0.1087,0.1288,0.4289,0.3967,1.119,0.6658,0.1142,0.1973
baseline_4feat_calib,4,0.5158,0.4221,0.9661,0.5728,0.0423,0.0121,0.4711,0.4087,1.0501,0.6333,0.0439,0.0568
regularised_4feat,4,0.5211,0.4293,0.9656,0.5722,0.0403,0.0184,0.4763,0.4157,1.0459,0.6303,0.0486,0.0632
rich_8feat_regularised,8,0.5079,0.4197,0.9719,0.5753,0.0343,0.0215,0.4842,0.423,1.0478,0.6323,0.0639,0.0452
SYN_baseline_4feat_raw,4,0.4605,0.3513,1.0987,0.652,0.1147,0.1836,0.4553,0.3967,1.1779,0.696,0.1328,0.1888
SYN_baseline_4feat_calib,4,0.4868,0.3708,1.02,0.6088,0.0396,0.0701,0.4816,0.4173,1.0529,0.6326,0.0603,0.0753
SYN_regularised_4feat,4,0.4947,0.3716,1.0163,0.6063,0.0471,0.0582,0.4789,0.4109,1.0496,0.6307,0.0416,0.074
SYN_rich_8feat_regularised,8,0.4868,0.3723,1.0338,0.6179,0.0581,0.0808,0.5,0.4377,1.0498,0.6315,0.0512,0.0676
