agent,season,roi_pct,unit_roi_pct,n_bets,n_wins,strike_rate,total_staked,final_bankroll,ai_vetoes,ai_passes,ai_upscales
ML-only,2425,-4.0000000000000036,-100.0,4,0,0.0,40000.0,960000.0,0,0,0
ML-only,2526,-6.000000000000005,-100.0,6,0,0.0,60000.0,940000.0,0,0,0
AI+ML,2425,-2.4869719999999984,-99.99999999999989,4,0,0.0,24869.72,975130.28,0,4,0
AI+ML,2526,-1.0726760000000057,-100.00000000000009,2,0,0.0,10726.76,989273.24,4,2,0
